model,signature,kind,T3,detector,is_viyog,dataset
resnet50,G_hf_mean,Texture,0.948,Viyog-HF,True,CIFAR-10
resnet50,A_inf_norm,Texture,0.629,raw L∞,False,CIFAR-10
swin_tiny,Viyog_D*(tv|p5|adapt),Texture,0.703,Viyog-D (TV),True,CIFAR-10
swin_tiny,G_tv_mean,Texture,0.883,TV (mean),False,CIFAR-10
swin_tiny,G_hf_mean,Texture,0.961,Viyog-HF,True,CIFAR-10
swin_tiny,A_inf_norm,Texture,0.601,raw L∞,False,CIFAR-10
convnextv2_base,Viyog_D*(tv|p5|adapt),Far,0.979,Viyog-D (TV),True,GTSRB
convnextv2_base,G_tv_mean,Far,0.945,TV (mean),False,GTSRB
convnextv2_base,G_hf_mean,Far,0.921,Viyog-HF,True,GTSRB
convnextv2_base,A_inf_norm,Far,0.603,raw L∞,False,GTSRB
densenet121,Viyog_D*(tv|p5|adapt),Far,0.999,Viyog-D (TV),True,GTSRB
densenet121,G_tv_mean,Far,0.979,TV (mean),False,GTSRB
densenet121,G_hf_mean,Far,0.998,Viyog-HF,True,GTSRB
densenet121,A_inf_norm,Far,0.506,raw L∞,False,GTSRB
mobilenetv3_l,Viyog_D*(tv|p5|adapt),Far,0.999,Viyog-D (TV),True,GTSRB
mobilenetv3_l,G_tv_mean,Far,0.998,TV (mean),False,GTSRB
mobilenetv3_l,G_hf_mean,Far,0.994,Viyog-HF,True,GTSRB
mobilenetv3_l,A_inf_norm,Far,0.553,raw L∞,False,GTSRB
resnet50,Viyog_D*(tv|p5|adapt),Far,0.999,Viyog-D (TV),True,GTSRB
resnet50,G_tv_mean,Far,0.991,TV (mean),False,GTSRB
resnet50,G_hf_mean,Far,0.989,Viyog-HF,True,GTSRB
resnet50,A_inf_norm,Far,0.562,raw L∞,False,GTSRB
swin_tiny,Viyog_D*(tv|p5|adapt),Far,0.999,Viyog-D (TV),True,GTSRB
swin_tiny,G_tv_mean,Far,0.992,TV (mean),False,GTSRB
swin_tiny,G_hf_mean,Far,0.99,Viyog-HF,True,GTSRB
swin_tiny,A_inf_norm,Far,0.549,raw L∞,False,GTSRB
vit_base,Viyog_D*(tv|p5|adapt),Far,0.84,Viyog-D (TV),True,GTSRB
vit_base,G_tv_mean,Far,0.7,TV (mean),False,GTSRB
vit_base,G_hf_mean,Far,0.546,Viyog-HF,True,GTSRB
vit_base,A_inf_norm,Far,0.552,raw L∞,False,GTSRB
convnextv2_base,Viyog_D*(tv|p5|adapt),Near,0.501,Viyog-D (TV),True,GTSRB
convnextv2_base,G_tv_mean,Near,0.644,TV (mean),False,GTSRB
convnextv2_base,G_hf_mean,Near,0.729,Viyog-HF,True,GTSRB
convnextv2_base,A_inf_norm,Near,0.743,raw L∞,False,GTSRB
densenet121,Viyog_D*(tv|p5|adapt),Near,0.749,Viyog-D (TV),True,GTSRB
densenet121,G_tv_mean,Near,0.512,TV (mean),False,GTSRB
densenet121,G_hf_mean,Near,0.601,Viyog-HF,True,GTSRB
densenet121,A_inf_norm,Near,0.765,raw L∞,False,GTSRB
mobilenetv3_l,Viyog_D*(tv|p5|adapt),Near,0.617,Viyog-D (TV),True,GTSRB
mobilenetv3_l,G_tv_mean,Near,0.638,TV (mean),False,GTSRB
mobilenetv3_l,G_hf_mean,Near,0.567,Viyog-HF,True,GTSRB
mobilenetv3_l,A_inf_norm,Near,0.62,raw L∞,False,GTSRB
resnet50,Viyog_D*(tv|p5|adapt),Near,0.831,Viyog-D (TV),True,GTSRB
resnet50,G_tv_mean,Near,0.579,TV (mean),False,GTSRB
resnet50,G_hf_mean,Near,0.581,Viyog-HF,True,GTSRB
resnet50,A_inf_norm,Near,0.621,raw L∞,False,GTSRB
swin_tiny,Viyog_D*(tv|p5|adapt),Near,0.862,Viyog-D (TV),True,GTSRB
swin_tiny,G_tv_mean,Near,0.503,TV (mean),False,GTSRB
swin_tiny,G_hf_mean,Near,0.645,Viyog-HF,True,GTSRB
swin_tiny,A_inf_norm,Near,0.77,raw L∞,False,GTSRB
vit_base,Viyog_D*(tv|p5|adapt),Near,0.565,Viyog-D (TV),True,GTSRB
vit_base,G_tv_mean,Near,0.719,TV (mean),False,GTSRB
vit_base,G_hf_mean,Near,0.706,Viyog-HF,True,GTSRB
vit_base,A_inf_norm,Near,0.696,raw L∞,False,GTSRB
convnextv2_base,Viyog_D*(tv|p5|adapt),Texture,0.847,Viyog-D (TV),True,GTSRB
convnextv2_base,G_tv_mean,Texture,0.921,TV (mean),False,GTSRB
convnextv2_base,G_hf_mean,Texture,0.976,Viyog-HF,True,GTSRB
convnextv2_base,A_inf_norm,Texture,0.661,raw L∞,False,GTSRB
densenet121,Viyog_D*(tv|p5|adapt),Texture,0.704,Viyog-D (TV),True,GTSRB
densenet121,G_tv_mean,Texture,0.865,TV (mean),False,GTSRB
densenet121,G_hf_mean,Texture,0.935,Viyog-HF,True,GTSRB
densenet121,A_inf_norm,Texture,0.672,raw L∞,False,GTSRB
mobilenetv3_l,Viyog_D*(tv|p5|adapt),Texture,0.824,Viyog-D (TV),True,GTSRB
mobilenetv3_l,G_tv_mean,Texture,0.825,TV (mean),False,GTSRB
mobilenetv3_l,G_hf_mean,Texture,0.891,Viyog-HF,True,GTSRB
mobilenetv3_l,A_inf_norm,Texture,0.673,raw L∞,False,GTSRB
resnet50,Viyog_D*(tv|p5|adapt),Texture,0.607,Viyog-D (TV),True,GTSRB
resnet50,G_tv_mean,Texture,0.835,TV (mean),False,GTSRB
resnet50,G_hf_mean,Texture,0.932,Viyog-HF,True,GTSRB
resnet50,A_inf_norm,Texture,0.563,raw L∞,False,GTSRB
swin_tiny,Viyog_D*(tv|p5|adapt),Texture,0.602,Viyog-D (TV),True,GTSRB
swin_tiny,G_tv_mean,Texture,0.852,TV (mean),False,GTSRB
swin_tiny,G_hf_mean,Texture,0.915,Viyog-HF,True,GTSRB
swin_tiny,A_inf_norm,Texture,0.732,raw L∞,False,GTSRB
vit_base,Viyog_D*(tv|p5|adapt),Texture,0.741,Viyog-D (TV),True,GTSRB
vit_base,G_tv_mean,Texture,0.754,TV (mean),False,GTSRB
vit_base,G_hf_mean,Texture,0.739,Viyog-HF,True,GTSRB
vit_base,A_inf_norm,Texture,0.553,raw L∞,False,GTSRB
